evidence_id,metric,grade,role,source_ref
EV-SPEND-001,accepted_ad_spend,reconciled,summand,ads:2
EV-SPEND-001,accepted_ad_spend,reconciled,summand,ads:3
EV-SPEND-001,accepted_ad_spend,reconciled,summand,ads:4
EV-SPEND-001,accepted_ad_spend,reconciled,summand,ads:5
EV-SPEND-001,accepted_ad_spend,reconciled,summand,ads:6
EV-REV-001,accepted_revenue,reconciled,summand,revenue:2
EV-REV-001,accepted_revenue,reconciled,summand,revenue:3
EV-REV-001,accepted_revenue,reconciled,summand,revenue:4
EV-REV-001,accepted_revenue,reconciled,summand,revenue:5
EV-REV-001,accepted_revenue,reconciled,summand,revenue:6
EV-REV-001,accepted_revenue,reconciled,summand,revenue:7
EV-REV-001,accepted_revenue,reconciled,summand,revenue:10
EV-ATTR-001,attributed_revenue,assumption-dependent,summand,revenue:2
EV-ATTR-001,attributed_revenue,assumption-dependent,summand,revenue:4
EV-ATTR-001,attributed_revenue,assumption-dependent,summand,revenue:5
EV-ATTR-001,attributed_revenue,assumption-dependent,join,crm:2
EV-ATTR-001,attributed_revenue,assumption-dependent,join,crm:4
EV-ATTR-001,attributed_revenue,assumption-dependent,join,crm:6
EV-COVER-001,revenue_attribution_coverage,reconciled,numerator,revenue:2
EV-COVER-001,revenue_attribution_coverage,reconciled,numerator,revenue:4
EV-COVER-001,revenue_attribution_coverage,reconciled,numerator,revenue:5
EV-COVER-001,revenue_attribution_coverage,reconciled,denominator,revenue:2
EV-COVER-001,revenue_attribution_coverage,reconciled,denominator,revenue:3
EV-COVER-001,revenue_attribution_coverage,reconciled,denominator,revenue:4
EV-COVER-001,revenue_attribution_coverage,reconciled,denominator,revenue:5
EV-COVER-001,revenue_attribution_coverage,reconciled,denominator,revenue:6
EV-COVER-001,revenue_attribution_coverage,reconciled,denominator,revenue:7
EV-COVER-001,revenue_attribution_coverage,reconciled,denominator,revenue:10
EV-COVER-001,revenue_attribution_coverage,reconciled,join,crm:2
EV-COVER-001,revenue_attribution_coverage,reconciled,join,crm:4
EV-COVER-001,revenue_attribution_coverage,reconciled,join,crm:6
EV-UNMATCH-001,unattributed_or_invalid_revenue,reconciled,summand,revenue:3
EV-UNMATCH-001,unattributed_or_invalid_revenue,reconciled,summand,revenue:6
EV-UNMATCH-001,unattributed_or_invalid_revenue,reconciled,summand,revenue:7
EV-UNMATCH-001,unattributed_or_invalid_revenue,reconciled,summand,revenue:10
EV-CONFLICT-001,revenue_with_conflicting_lead_attribution,reconciled,summand,revenue:3
EV-CONFLICT-001,revenue_with_conflicting_lead_attribution,reconciled,join,crm:3
EV-CONFLICT-001,revenue_with_conflicting_lead_attribution,reconciled,join,crm:8
EV-CHSPEND-001,channel_accepted_ad_spend,reconciled,summand,ads:4
EV-CHATTR-001,channel_attributed_revenue,assumption-dependent,summand,revenue:5
EV-CHATTR-001,channel_attributed_revenue,assumption-dependent,join,crm:6
EV-CHROAS-001,channel_assumption_dependent_roas,assumption-dependent,numerator,revenue:5
EV-CHROAS-001,channel_assumption_dependent_roas,assumption-dependent,denominator,ads:4
EV-CHROAS-001,channel_assumption_dependent_roas,assumption-dependent,join,crm:6
EV-CHSPEND-002,channel_accepted_ad_spend,reconciled,summand,ads:2
EV-CHSPEND-002,channel_accepted_ad_spend,reconciled,summand,ads:5
EV-CHATTR-002,channel_attributed_revenue,assumption-dependent,summand,revenue:2
EV-CHATTR-002,channel_attributed_revenue,assumption-dependent,join,crm:2
EV-CHROAS-002,channel_assumption_dependent_roas,assumption-dependent,numerator,revenue:2
EV-CHROAS-002,channel_assumption_dependent_roas,assumption-dependent,denominator,ads:2
EV-CHROAS-002,channel_assumption_dependent_roas,assumption-dependent,denominator,ads:5
EV-CHROAS-002,channel_assumption_dependent_roas,assumption-dependent,join,crm:2
EV-CHSPEND-003,channel_accepted_ad_spend,reconciled,summand,ads:3
EV-CHSPEND-003,channel_accepted_ad_spend,reconciled,summand,ads:6
EV-CHATTR-003,channel_attributed_revenue,assumption-dependent,summand,revenue:4
EV-CHATTR-003,channel_attributed_revenue,assumption-dependent,join,crm:4
EV-CHROAS-003,channel_assumption_dependent_roas,assumption-dependent,numerator,revenue:4
EV-CHROAS-003,channel_assumption_dependent_roas,assumption-dependent,denominator,ads:3
EV-CHROAS-003,channel_assumption_dependent_roas,assumption-dependent,denominator,ads:6
EV-CHROAS-003,channel_assumption_dependent_roas,assumption-dependent,join,crm:4
EV-WINATTR-030,window_attributed_revenue,assumption-dependent,summand,revenue:2
EV-WINATTR-030,window_attributed_revenue,assumption-dependent,summand,revenue:4
EV-WINATTR-030,window_attributed_revenue,assumption-dependent,join,crm:2
EV-WINATTR-030,window_attributed_revenue,assumption-dependent,join,crm:4
EV-WINEXCL-030,window_excluded_delayed_revenue,assumption-dependent,summand,revenue:5
EV-WINEXCL-030,window_excluded_delayed_revenue,assumption-dependent,join,crm:6
EV-WINATTR-060,window_attributed_revenue,assumption-dependent,summand,revenue:2
EV-WINATTR-060,window_attributed_revenue,assumption-dependent,summand,revenue:4
EV-WINATTR-060,window_attributed_revenue,assumption-dependent,summand,revenue:5
EV-WINATTR-060,window_attributed_revenue,assumption-dependent,join,crm:2
EV-WINATTR-060,window_attributed_revenue,assumption-dependent,join,crm:4
EV-WINATTR-060,window_attributed_revenue,assumption-dependent,join,crm:6
EV-WINATTR-090,window_attributed_revenue,assumption-dependent,summand,revenue:2
EV-WINATTR-090,window_attributed_revenue,assumption-dependent,summand,revenue:4
EV-WINATTR-090,window_attributed_revenue,assumption-dependent,summand,revenue:5
EV-WINATTR-090,window_attributed_revenue,assumption-dependent,join,crm:2
EV-WINATTR-090,window_attributed_revenue,assumption-dependent,join,crm:4
EV-WINATTR-090,window_attributed_revenue,assumption-dependent,join,crm:6
