source,source_row,record_id,status,severity,reason
ads,7,CMP-SOCIAL-01,duplicate,rejected,exact duplicate advertising row
ads,8,CMP-BROKEN-01,rejected,rejected,spend_aed must be a plain non-negative decimal such as 1000 or 1000.50
crm,3,LEAD-002,conflict,uncertain,lead_id has conflicting campaign attribution
crm,8,LEAD-002,conflict,uncertain,lead_id has conflicting campaign attribution
crm,9,row-9,rejected,rejected,lead_id and campaign_id are required
revenue,3,TX-002,accepted-unattributed,uncertain,lead_id has conflicting CRM records; revenue cannot be attributed
revenue,6,TX-005,accepted-unattributed,uncertain,CRM campaign_id has no accepted advertising record
revenue,7,TX-006,accepted-unattributed,uncertain,lead_id has no accepted CRM record; revenue cannot be attributed
revenue,8,TX-003,duplicate,rejected,duplicate transaction_id
revenue,9,TX-007,rejected,rejected,value_aed must be a plain non-negative decimal such as 1000 or 1000.50
revenue,10,TX-008,accepted-unattributed,uncertain,revenue date precedes lead creation date
